datestamp,type,type - dcmi recommendation,format,format - mediatype,format - subtype,subject,title,date,identifier,source,rights,record - header - setSpec,record id
2018-09-14T14:50:13Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Spanish colonial domination of Argentina,1897-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1897_Aubin_LecturasSobreHistoriaNacional_12-14,"-: ""Spanish colonial domination of Argentina"", Buenos Aires F.D.: - 1897.",Open Access,WorldViews,AR_1897_Aubin_LecturasSobreHistoriaNacional_12-14_spa
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T15:44:37Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Unsere Ursprünge in der Vergangenheit,1976-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1976_Abramo_EnsinoCriativoDeHistoriaDoBrasilColonia_42-43,"-: ""Unsere Ursprünge in der Vergangenheit"", São Paulo: - 1976.",Open Access,WorldViews,BR_1976_Abramo_EnsinoCriativoDeHistoriaDoBrasilColonia_42-43_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T15:44:37Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Unsere Ursprünge in der Vergangenheit,1976-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1976_Abramo_EnsinoCriativoDeHistoriaDoBrasilColonia_42-43,"-: ""Unsere Ursprünge in der Vergangenheit"", São Paulo: - 1976.",Open Access,WorldViews,BR_1976_Abramo_EnsinoCriativoDeHistoriaDoBrasilColonia_42-43_por
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T15:44:37Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Unsere Ursprünge in der Vergangenheit,1976-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1976_Abramo_EnsinoCriativoDeHistoriaDoBrasilColonia_42-43,"-: ""Unsere Ursprünge in der Vergangenheit"", São Paulo: - 1976.",Open Access,WorldViews,BR_1976_Abramo_EnsinoCriativoDeHistoriaDoBrasilColonia_42-43_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T14:56:10Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Immigration to Argentina,1905-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1905_Gambon_SuplementoALasLeccionesDeHistoriaArgentina_89_90,"-: ""Immigration to Argentina"", Buenos Aires: - 1905.",Open Access,WorldViews,AR_1905_Gambon_SuplementoALasLeccionesDeHistoriaArgentina_89_90_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:56:10Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Immigration to Argentina,1905-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1905_Gambon_SuplementoALasLeccionesDeHistoriaArgentina_89_90,"-: ""Immigration to Argentina"", Buenos Aires: - 1905.",Open Access,WorldViews,AR_1905_Gambon_SuplementoALasLeccionesDeHistoriaArgentina_89_90_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:56:10Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Immigration to Argentina,1905-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1905_Gambon_SuplementoALasLeccionesDeHistoriaArgentina_89_90,"-: ""Immigration to Argentina"", Buenos Aires: - 1905.",Open Access,WorldViews,AR_1905_Gambon_SuplementoALasLeccionesDeHistoriaArgentina_89_90_spa
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:53:46Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Deutsche Lieder,1920-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1920_Haesters_DeutschesLesebuch_76,"-: ""Deutsche Lieder"", Buenos Aires: - Ca. 1920.",Open Access,WorldViews,AR_1920_Haesters_DeutschesLesebuch_76_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:53:46Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Deutsche Lieder,1920-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1920_Haesters_DeutschesLesebuch_76,"-: ""Deutsche Lieder"", Buenos Aires: - Ca. 1920.",Open Access,WorldViews,AR_1920_Haesters_DeutschesLesebuch_76_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-07-17T07:25:30Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Friedenskonferenz in Münster 1648,1953-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=DE_1953_Bendfeld_AbendlandStaatensystem_186,"-: Friedenskonferenz in Münster 1648, Paderborn: - 1953.",Open Access,WorldViews,DE_1953_Bendfeld_AbendlandStaatensystem_186_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-07-17T07:25:30Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Friedenskonferenz in Münster 1648,1953-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=DE_1953_Bendfeld_AbendlandStaatensystem_186,"-: Friedenskonferenz in Münster 1648, Paderborn: - 1953.",Open Access,WorldViews,DE_1953_Bendfeld_AbendlandStaatensystem_186_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-07-17T07:23:33Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The System of Forced Labour,1993-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=ID_1993_Suhartono_Sejarah2_80,"-: The System of Forced Labour, Batavia: - 1993.",Open Access,WorldViews,ID_1993_Suhartono_Sejarah2_80_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-07-17T07:23:33Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The System of Forced Labour,1993-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=ID_1993_Suhartono_Sejarah2_80,"-: The System of Forced Labour, Batavia: - 1993.",Open Access,WorldViews,ID_1993_Suhartono_Sejarah2_80_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-07-17T07:23:33Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The System of Forced Labour,1993-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=ID_1993_Suhartono_Sejarah2_80,"-: The System of Forced Labour, Batavia: - 1993.",Open Access,WorldViews,ID_1993_Suhartono_Sejarah2_80_ind
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:04:16Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Familienzuwachs  - EU (2004),2009-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=DE_2009_BergerEtAl_PolitikEntdecken_31,"-: ""Familienzuwachs"" - EU (2004), Berlin: - 2009.",Open Access,WorldViews,DE_2009_BergerEtAl_PolitikEntdecken_31_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T14:04:16Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Familienzuwachs  - EU (2004),2009-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=DE_2009_BergerEtAl_PolitikEntdecken_31,"-: ""Familienzuwachs"" - EU (2004), Berlin: - 2009.",Open Access,WorldViews,DE_2009_BergerEtAl_PolitikEntdecken_31_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T13:44:08Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Beitrittsverhandlungen mit der Türkei,2007-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=DE_2007_RiedelEtAl_Politik_245,"-: ""Beitrittsverhandlungen mit der Türkei"", Kreisfreie Stadt Bamberg: - 2007.",Open Access,WorldViews,DE_2007_RiedelEtAl_Politik_245_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T13:44:08Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Beitrittsverhandlungen mit der Türkei,2007-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=DE_2007_RiedelEtAl_Politik_245,"-: ""Beitrittsverhandlungen mit der Türkei"", Kreisfreie Stadt Bamberg: - 2007.",Open Access,WorldViews,DE_2007_RiedelEtAl_Politik_245_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T14:11:27Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Wer gehört noch in die EU?,2012-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=DE_2012_Castner_Politik21_57,"-: ""Wer gehört noch in die EU?"", Kreisfreie Stadt Bamberg: - 2012.",Open Access,WorldViews,DE_2012_Castner_Politik21_57_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T14:11:27Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Wer gehört noch in die EU?,2012-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=DE_2012_Castner_Politik21_57,"-: ""Wer gehört noch in die EU?"", Kreisfreie Stadt Bamberg: - 2012.",Open Access,WorldViews,DE_2012_Castner_Politik21_57_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T16:52:55Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The Peoples of South-East Asia,1969-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=MY_1969_Pearn_AnIntroductionToTheHistoryOfSouthEastAsia_3__5_6,"-: ""The Peoples of South-East Asia"", Kuala Lumpur: - 1969 [1963].",Open Access,WorldViews,MY_1969_Pearn_AnIntroductionToTheHistoryOfSouthEastAsia_3__5_6_ger
,Text,,application/pdf,application,pdf,,,1963-01-01T00:00:00Z,,,,,
2018-09-14T16:52:55Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The Peoples of South-East Asia,1969-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=MY_1969_Pearn_AnIntroductionToTheHistoryOfSouthEastAsia_3__5_6,"-: ""The Peoples of South-East Asia"", Kuala Lumpur: - 1969 [1963].",Open Access,WorldViews,MY_1969_Pearn_AnIntroductionToTheHistoryOfSouthEastAsia_3__5_6_eng
,Text,,application/pdf,application,pdf,,,1963-01-01T00:00:00Z,,,,,
2018-09-14T17:16:04Z,Source,Text,image/jpeg,image,jpeg,WorldViews,How did Southeast Asians respond to European colonisation,2013-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=SG_2013_Seng_AllAboutHistory_19_20,"-: ""How did Southeast Asians respond to European colonisation"", Singapore: - 2013.",Open Access,WorldViews,SG_2013_Seng_AllAboutHistory_19_20_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T17:16:04Z,Source,Text,image/jpeg,image,jpeg,WorldViews,How did Southeast Asians respond to European colonisation,2013-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=SG_2013_Seng_AllAboutHistory_19_20,"-: ""How did Southeast Asians respond to European colonisation"", Singapore: - 2013.",Open Access,WorldViews,SG_2013_Seng_AllAboutHistory_19_20_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-07-17T07:22:58Z,Source,Text,image/jpeg,image,jpeg,WorldViews,German Imperial Control (1884-1914),2000-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CM_2000_TaziforEtAl_AJuniorHistoryForSecondarySchools_99_101,"-: German Imperial Control (1884-1914), Buea: - 2000 [1988].",Open Access,WorldViews,CM_2000_TaziforEtAl_AJuniorHistoryForSecondarySchools_99_101_ger
,Text,,application/pdf,application,pdf,EurViews,,1988-01-01T00:00:00Z,,,,EurViews,
2018-07-17T07:22:58Z,Source,Text,image/jpeg,image,jpeg,WorldViews,German Imperial Control (1884-1914),2000-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CM_2000_TaziforEtAl_AJuniorHistoryForSecondarySchools_99_101,"-: German Imperial Control (1884-1914), Buea: - 2000 [1988].",Open Access,WorldViews,CM_2000_TaziforEtAl_AJuniorHistoryForSecondarySchools_99_101_eng
,Text,,application/pdf,application,pdf,EurViews,,1988-01-01T00:00:00Z,,,,EurViews,
2018-09-14T15:46:12Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The flag of the ‘Rising Sun’,1950-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1950_Morita_CursoPrimarioDasLinguasNipoBrasileiras_6_7,"-: ""The flag of the ‘Rising Sun’"", Curitiba: - ca. 1950.",Open Access,WorldViews,BR_1950_Morita_CursoPrimarioDasLinguasNipoBrasileiras_6_7_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T15:46:12Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The flag of the ‘Rising Sun’,1950-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1950_Morita_CursoPrimarioDasLinguasNipoBrasileiras_6_7,"-: ""The flag of the ‘Rising Sun’"", Curitiba: - ca. 1950.",Open Access,WorldViews,BR_1950_Morita_CursoPrimarioDasLinguasNipoBrasileiras_6_7_por
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T15:46:12Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The flag of the ‘Rising Sun’,1950-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1950_Morita_CursoPrimarioDasLinguasNipoBrasileiras_6_7,"-: ""The flag of the ‘Rising Sun’"", Curitiba: - ca. 1950.",Open Access,WorldViews,BR_1950_Morita_CursoPrimarioDasLinguasNipoBrasileiras_6_7_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-05T08:56:37Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Interdependence,2010-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=IE_2010_MurphyEtAl_OneWorld_174-177,"-: Interdependence, Dublin: - 2010.",Open Access,WorldViews,IE_2010_MurphyEtAl_OneWorld_174-177_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-05T08:56:37Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Interdependence,2010-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=IE_2010_MurphyEtAl_OneWorld_174-177,"-: Interdependence, Dublin: - 2010.",Open Access,WorldViews,IE_2010_MurphyEtAl_OneWorld_174-177_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T15:49:42Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Deutsche Bienen in Australien,1914-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1914_Rotermund_LesebuchFuerSchuleUndHaus_93-95,"-: ""Deutsche Bienen in Australien"", Cruz Alta: - 1914.",Open Access,WorldViews,BR_1914_Rotermund_LesebuchFuerSchuleUndHaus_93-95_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T15:49:42Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Deutsche Bienen in Australien,1914-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1914_Rotermund_LesebuchFuerSchuleUndHaus_93-95,"-: ""Deutsche Bienen in Australien"", Cruz Alta: - 1914.",Open Access,WorldViews,BR_1914_Rotermund_LesebuchFuerSchuleUndHaus_93-95_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-08-16T09:14:04Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Ethnography,1918-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1918_Aparicio_GeografiaFisicaYEconomica_145-147,"-: ""Ethnography"", Buenos Aires F.D.: - 1918.",Open Access,WorldViews,AR_1918_Aparicio_GeografiaFisicaYEconomica_145-147_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-08-16T09:14:04Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Ethnography,1918-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1918_Aparicio_GeografiaFisicaYEconomica_145-147,"-: ""Ethnography"", Buenos Aires F.D.: - 1918.",Open Access,WorldViews,AR_1918_Aparicio_GeografiaFisicaYEconomica_145-147_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-08-16T09:14:04Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Ethnography,1918-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=AR_1918_Aparicio_GeografiaFisicaYEconomica_145-147,"-: ""Ethnography"", Buenos Aires F.D.: - 1918.",Open Access,WorldViews,AR_1918_Aparicio_GeografiaFisicaYEconomica_145-147_spa
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T13:42:20Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Die Türkei und die EU,2010-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=DE_2010_NeumannEtAl_Anstoesse_42__52,"-: ""Die Türkei und die EU"", Stuttgart: - 2010.",Open Access,WorldViews,DE_2010_NeumannEtAl_Anstoesse_42__52_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T13:42:20Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Die Türkei und die EU,2010-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=DE_2010_NeumannEtAl_Anstoesse_42__52,"-: ""Die Türkei und die EU"", Stuttgart: - 2010.",Open Access,WorldViews,DE_2010_NeumannEtAl_Anstoesse_42__52_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T16:08:42Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Temporal Boundaries of the Middle Ages,1968-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1968_Giordani_Imperio_10__11,"-: ""Temporal Boundaries of the Middle Ages"", Petrópolis: - 1968.",Open Access,WorldViews,BR_1968_Giordani_Imperio_10__11_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T16:08:42Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Temporal Boundaries of the Middle Ages,1968-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1968_Giordani_Imperio_10__11,"-: ""Temporal Boundaries of the Middle Ages"", Petrópolis: - 1968.",Open Access,WorldViews,BR_1968_Giordani_Imperio_10__11_por
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T16:08:42Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Temporal Boundaries of the Middle Ages,1968-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1968_Giordani_Imperio_10__11,"-: ""Temporal Boundaries of the Middle Ages"", Petrópolis: - 1968.",Open Access,WorldViews,BR_1968_Giordani_Imperio_10__11_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:47:01Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Heroic Stand at Bataan,1974-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=PH_1974_Zaide_PhilippineHistoryForHighSchools_321_323,"-: ""Heroic Stand at Bataan"", Manila: - 1974.",Open Access,WorldViews,PH_1974_Zaide_PhilippineHistoryForHighSchools_321_323_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:47:01Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Heroic Stand at Bataan,1974-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=PH_1974_Zaide_PhilippineHistoryForHighSchools_321_323,"-: ""Heroic Stand at Bataan"", Manila: - 1974.",Open Access,WorldViews,PH_1974_Zaide_PhilippineHistoryForHighSchools_321_323_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-08-14T14:45:58Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Legacy of Mediterranean cultures,1997-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=UR_1997_AbadieEtAl_Roma2_72,"-: ""Legacy of Mediterranean cultures"", Montevideo: - 1997.",Open Access,WorldViews,UR_1997_AbadieEtAl_Roma2_72_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-08-14T14:45:58Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Legacy of Mediterranean cultures,1997-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=UR_1997_AbadieEtAl_Roma2_72,"-: ""Legacy of Mediterranean cultures"", Montevideo: - 1997.",Open Access,WorldViews,UR_1997_AbadieEtAl_Roma2_72_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-08-14T14:45:58Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Legacy of Mediterranean cultures,1997-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=UR_1997_AbadieEtAl_Roma2_72,"-: ""Legacy of Mediterranean cultures"", Montevideo: - 1997.",Open Access,WorldViews,UR_1997_AbadieEtAl_Roma2_72_spa
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-07-17T07:24:05Z,Source,Text,image/jpeg,image,jpeg,WorldViews,From World War One to the Velvet Revolution,1995-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CZ_1995_Valenta_Dejepis_142_143,"-: From World War One to the Velvet Revolution, Olomouc: - 1995.",Open Access,WorldViews,CZ_1995_Valenta_Dejepis_142_143_cze
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-07-17T07:24:05Z,Source,Text,image/jpeg,image,jpeg,WorldViews,From World War One to the Velvet Revolution,1995-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CZ_1995_Valenta_Dejepis_142_143,"-: From World War One to the Velvet Revolution, Olomouc: - 1995.",Open Access,WorldViews,CZ_1995_Valenta_Dejepis_142_143_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-07-17T07:24:05Z,Source,Text,image/jpeg,image,jpeg,WorldViews,From World War One to the Velvet Revolution,1995-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CZ_1995_Valenta_Dejepis_142_143,"-: From World War One to the Velvet Revolution, Olomouc: - 1995.",Open Access,WorldViews,CZ_1995_Valenta_Dejepis_142_143_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-08-14T15:31:09Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Indonesien außerhalb Indonesiens,1954-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=ID_1954_Ali_PerdjuanganFeodal_5_8,"-: ""Indonesien außerhalb Indonesiens"", Bandung: - 1954.",Open Access,WorldViews,ID_1954_Ali_PerdjuanganFeodal_5_8_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-08-14T15:31:09Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Indonesien außerhalb Indonesiens,1954-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=ID_1954_Ali_PerdjuanganFeodal_5_8,"-: ""Indonesien außerhalb Indonesiens"", Bandung: - 1954.",Open Access,WorldViews,ID_1954_Ali_PerdjuanganFeodal_5_8_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-08-14T15:31:09Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Indonesien außerhalb Indonesiens,1954-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=ID_1954_Ali_PerdjuanganFeodal_5_8,"-: ""Indonesien außerhalb Indonesiens"", Bandung: - 1954.",Open Access,WorldViews,ID_1954_Ali_PerdjuanganFeodal_5_8_ind
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T17:21:12Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Escape to  Freedom in Germany,1995-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CZ_1995_Valenta_Dejepis_115_116,"-: Escape to ""Freedom in Germany"", Olomouc: - 1995.",Open Access,WorldViews,CZ_1995_Valenta_Dejepis_115_116_cze
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T17:21:12Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Escape to  Freedom in Germany,1995-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CZ_1995_Valenta_Dejepis_115_116,"-: Escape to ""Freedom in Germany"", Olomouc: - 1995.",Open Access,WorldViews,CZ_1995_Valenta_Dejepis_115_116_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T17:21:12Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Escape to  Freedom in Germany,1995-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=CZ_1995_Valenta_Dejepis_115_116,"-: Escape to ""Freedom in Germany"", Olomouc: - 1995.",Open Access,WorldViews,CZ_1995_Valenta_Dejepis_115_116_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:25:23Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Von den europäischstämmigen Siedlern übernommene indigene kulturelle Elemente,1953-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=MX_1953_Willems_PeriodoIndigena_108_109,"-: ""Von den europäischstämmigen Siedlern übernommene indigene kulturelle Elemente"", Mexiko-Stadt: - 1953.",Open Access,WorldViews,MX_1953_Willems_PeriodoIndigena_108_109_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:25:23Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Von den europäischstämmigen Siedlern übernommene indigene kulturelle Elemente,1953-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=MX_1953_Willems_PeriodoIndigena_108_109,"-: ""Von den europäischstämmigen Siedlern übernommene indigene kulturelle Elemente"", Mexiko-Stadt: - 1953.",Open Access,WorldViews,MX_1953_Willems_PeriodoIndigena_108_109_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T14:25:23Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Von den europäischstämmigen Siedlern übernommene indigene kulturelle Elemente,1953-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=MX_1953_Willems_PeriodoIndigena_108_109,"-: ""Von den europäischstämmigen Siedlern übernommene indigene kulturelle Elemente"", Mexiko-Stadt: - 1953.",Open Access,WorldViews,MX_1953_Willems_PeriodoIndigena_108_109_spa
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-10-15T08:44:57Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Migration,1988-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=SG_1988_SongEtAl_SecondarySchoolGeography_272__274_275,"-: ""Migration"", Singapur: - 1988 [1985].",Open Access,WorldViews,SG_1988_SongEtAl_SecondarySchoolGeography_272__274_275_ger
,Text,,application/pdf,application,pdf,,,1985-01-01T00:00:00Z,,,,,
2018-10-15T08:44:57Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Migration,1988-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=SG_1988_SongEtAl_SecondarySchoolGeography_272__274_275,"-: ""Migration"", Singapur: - 1988 [1985].",Open Access,WorldViews,SG_1988_SongEtAl_SecondarySchoolGeography_272__274_275_eng
,Text,,application/pdf,application,pdf,,,1985-01-01T00:00:00Z,,,,,
2018-08-20T09:01:49Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The Time of the World Wars,2006-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=FR_2006_CheungEtAl_HistoireGeographie_57,"-: The Time of the World Wars, Paris: - 2006.",Open Access,WorldViews,FR_2006_CheungEtAl_HistoireGeographie_57_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-08-20T09:01:49Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The Time of the World Wars,2006-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=FR_2006_CheungEtAl_HistoireGeographie_57,"-: The Time of the World Wars, Paris: - 2006.",Open Access,WorldViews,FR_2006_CheungEtAl_HistoireGeographie_57_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
