datestamp,subject,relation,identifier,rights,language,contributor,type,type - dcmi recommendation,description,source,title,creator,date,format,format - mediatype,format - subtype,publisher,coverage,record id
,script knowledge,,hdl:21.11119/0000-0000-5DD4-9,,,Tatiana Anikina,dataset,dataset,,,,,,,,,,,
,narrative texts,,,,,Simon Ostermann,text,text,,,,,,,,,,,
,commonsense knowledge,,,,,Manfred Pinkal,,,,,,,,,,,,,
,crowdsourcing,,,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,scripts,"Simon Ostermann, Ashutosh Modi, Michael Roth, Stefan Thater and Manfred Pinkal (2018): ""MCScript: A Novel Dataset for Assessing Machine Comprehension Using Script Knowledge"". In Proceedings of the 11th International Conference on Language Resources and Evaluation, Miyazaki, Japan. http://www.lrec-conf.org/proceedings/lrec2018/pdf/225.pdf",clarind-uds:mcscript,CC BY NC SA,eng,Simon Ostermann,collection,collection,"The MCScript corpus is a large dataset of narrative texts and questions about these texts, intended to be used in a machine comprehension task that requires reasoning using commonsense knowledge. Our dataset complements similar datasets in that we focus on stories about everyday activities, such as going to the movies or working in the garden, and that the questions require commonsense knowledge, or more specifically, script knowledge, to be answered. We show that our mode of data collection via crowdsourcing results in a substantial amount of such inference questions. The dataset forms the basis of a shared task on commonsense and script knowledge organized at SemEval 2018 and provides challenging test cases for the broader natural language understanding community.",,McScript: A Novel Dataset for Assessing Machine Comprehension Using Script Knowledge,"Simon Ostermann, Fachrichtung Sprachwissenschaft und Sprachtechnologie, Universität des Saarlandes, Campus C7.4, 66123 Saarbrücken",2018-01-01T00:00:00Z,text/xml,text,xml,,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:mcscript
,script knowledge,,hdl:21.11119/0000-0001-D3A7-4,,,Ashutosh Modi,dataset,dataset,,,,,,,,,,,
,narrative texts,,,,,Michael Roth,text,text,,,,,,,,,,,
,commonsense knowledge,,,,,Stefan Thater,,,,,,,,,,,,,
,crowdsourcing,,,,,Manfred Pinkal,,,,,,,,,,,,,
2020-10-07T13:30:10Z,corpus linguistics,Part-of-Speech Tags. Stuttgart-Tübingen-Tagset (STTS): http://www.coli.uni-saarland.de/projects/sfb378/negra-corpus/stts.asc,clarind-uds:negra,academic use,deu,Hans Uszkoreit,dataset,dataset,"The NEGRA corpus version 2 consists of 355,096 tokens (20,602 sentences) of German newspaper text, taken from the Frankfurter Rundschau as contained in the CD “Multilingual Corpus 1” of the European Corpus Initiative. It is based on approx. 60,000 tokens that were tagged for part-of speech at the Institut für maschinelle Sprachverarbeitung, Stuttgart. This corpus was extended, tagged with part-of-speech and completely annotated with syntactic structures. The corpus was created in the projects NEGRA (DFG Sonderforschungsbereich 378, Projekt C3) and LINC (Universität des Saarlandes) in Saarbrücken.","German newspaper text, taken from the Frankfurter Rundschau as contained in the CD ""Multilingual Corpus 1"" of the European Corpus Initiative: http://www.ldc.upenn.edu/Catalog/CatalogEntry.jsp?catalogId=LDC94T5",NEGRA,"NEGRA (DFG Sonderforschungsbereich 378, Projekt C3)",2006-01-01T00:00:00Z,text/xml,text,xml,Universität des Saarlandes,Germany,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:negra
,linguistics,"Morphological analysis (only for the first 60,000 tokens). These are the tags of the expanded STTS. The link is broken, but it could be used instead the info in ISOCAT: http://www.isocat.org/rest/dcs/376",clarind-uds:NEGRA,Commercial licence uds,,Thorsten Brants,,,"Das NEGRA Korpus Version 2 besteht aus 355.096 Tokens (20.602 Sätzen) deutschen Zeitungstextes aus der Frankfurter Rundschau. Die Texte sind der CD “Multilingual Corpus 1” der European Corpus Initiative entnommen. Es basiert auf ca. 60.000 Tokens, die am Institut für maschinelle Sprachverarbeitung, Stuttgart, mit Parts-of-Speech annotiert wurden. Dieses Korpus wurde erweitert, ebenfalls mit Parts-of-Speech versehen und vollständig mit syntaktischen Strukturen annotiert. Der Aufbau des Korpus wurde in den Projekten NEGRA (DFG Sonderforschungsbereich 378, Projekt C3) und LINC (Universität des Saarlandes) in Saarbrücken durchgeführt.",,,LINC (Universität des Saarlandes),,,,,,,
,computational linguistics,The grammatical function in the directly dominating phrase. List of the grammatical funktions: http://www.coli.uni-saarland.de/projects/sfb378/negra-corpus/kanten.html,hdl:11858/00-246C-0000-0005-BD11-5,"licence fo the CD “Multilingual Corpus 1”, European Corpus Initiative",,Sabine Brants,,,,,,,,,,,,,
,treebank,The category of nonterminal nodes (phrases). List of the phrasal categories: http://www.coli.uni-saarland.de/projects/sfb378/negra-corpus/knoten.html,,,,Christine Foeldesi,,,,,,,,,,,,,
,syntactic annotation,In the project the annotation tool Annotate was used as a graphical user interface for an efficient structural annotation. It works together with parsers supporting the manual annotation and running in the background via a defined interface: http://www.coli.uni-saarland.de/projects/sfb378/negra-corpus/annotate.html,,,,Roland Hendriks,,,,,,,,,,,,,
,,,,,,Olaf Holz,,,,,,,,,,,,,
,,,,,,Meike van Hoorn,,,,,,,,,,,,,
,,,,,,Kerstin Klöckner,,,,,,,,,,,,,
,,,,,,Brigitte Krenn,,,,,,,,,,,,,
,,,,,,Oliver Plaehn,,,,,,,,,,,,,
,,,,,,Marcus Pussel,,,,,,,,,,,,,
,,,,,,Anne Schwartz,,,,,,,,,,,,,
,,,,,,Bernd-Paul Simon,,,,,,,,,,,,,
,,,,,,Wojciech Skut,,,,,,,,,,,,,
,,,,,,Holger Stenzhorn,,,,,,,,,,,,,
2020-10-07T13:30:10Z,historical linguistics,uni-giessen.de/oldbaileycorpus/search.html,clarind-uds:oldbailey,"share, adapt; terms: attribution, non-commercial, share alike, no additional restrictions",eng,"Justus Liebig University Giessen. Faculty 05 Language, Literature, Culture. Department of English. English Linguistics and History of English",dataset,dataset,"The Old Bailey Corpus is a sociolinguistically, pragmatically and textually annotated selection of the Proceedings of the Old Bailey. These speech-related texts document Late Modern English in London's Central Criminal Court from 1720 to 1913",,The Old Bailey Corpus,,,text/xml,text,xml,Robert Shoemaker,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:oldbailey
,morphology,uni-giessen.de/oldbaileycorpus/download.html,hdl:11858/00-246C-0000-0023-8CFB-2,,,"Huber, Magnus",spoken text,sound,,,,,,,,,Tim Hitchcock,,
,syntax,,,,,"Huber, Magnus",,,,,,,,,,,Justus Liebig University Giessen,,
,pragmatics,,,,,"Nissel, Magnus",,,,,,,,,,,Universität des Saarlandes,,
,semantics,,,,,"Nissel, Magnus",,,,,,,,,,,CLARIN-D,,
,text and corpus linguistics,,,,,"Maiwald, Patrick",,,,,,,,,,,,,
,historical sociolinguistics,,,,,"Maiwald, Patrick",,,,,,,,,,,,,
,historical corpus,,,,,"Puga, Karin",,,,,,,,,,,,,
,courtroom language,,,,,"Puga, Karin",,,,,,,,,,,,,
,late modern english,,,,,"Werner, Janina",,,,,,,,,,,,,
,british english,,,,,"Werner, Janina",,,,,,,,,,,,,
,,,,,,"Widlitzki, Bianca",,,,,,,,,,,,,
,,,,,,"Widlitzki, Bianca",,,,,,,,,,,,,
,,,,,,"El Basiouni, Sina",,,,,,,,,,,,,
,,,,,,"Hartmann, Carina",,,,,,,,,,,,,
,,,,,,"Kircili, Kathrin",,,,,,,,,,,,,
,,,,,,"Reeh, Elisabeth",,,,,,,,,,,,,
,,,,,,"Salomon, Saskia",,,,,,,,,,,,,
,,,,,,"Breitenbach, Daniela",,,,,,,,,,,,,
,,,,,,"Wunderlich, Julie",,,,,,,,,,,,,
,,,,,,"Batt, Oleg",,,,,,,,,,,,,
,,,,,,"Schunert, Nora",,,,,,,,,,,,,
,,,,,,"Petri, Sonja",,,,,,,,,,,,,
,,,,,,"Brunner, Christine",,,,,,,,,,,,,
,,,,,,"Krämer, Christina",,,,,,,,,,,,,
,,,,,,"Schneider, Ulrike",,,,,,,,,,,,,
,,,,,,"Langbein, Sven",,,,,,,,,,,,,
,,,,,,"Halpap, Melanie",,,,,,,,,,,,,
,,,,,,"Molke, Veronika",,,,,,,,,,,,,
,,,,,,Sumithra Velupillai,,,,,,,,,,,,,
,,,,,,Deutsche Forschungsgemeinschaft,,,,,,,,,,,,,
,,,,,,Bundesministerium für Bildung und Forschung,,,,,,,,,,,,,
2023-04-18T13:20:19Z,early modern english,"Royal Society Corpus Version 4.0 (previous version), http://hdl.handle.org/21.11119/0000-0001-7E8B-6",clarind-uds:openrsc-60,CC BY NC SA,eng,Elke Teich,collection,collection,"The Royal Society Corpus (RSC) is based on the first centuries of the Philosophical Transactions of the Royal Society of London from its beginning in 1665 to 1920. It includes all publications of the journal written mainly in English or mainly in English and that contain running text. The Philosophical Transactions was the first periodical of scientific writing in England. In addition, the RSC also contains all texts from other Royal Society science journals such as the Proceedings until 1920. The RSC 6.0 Open consists of approximately 78.6 million tokens and is encoded for text type (abstracts, articles), author, year of publication. Information about decade and 50-year periods are also available allowing for a diachronic analysis of different granularity. The corpus is tokenized and linguistically annotated for lemma and part-of-speech using TreeTagger (Schmid 1994, Schmid 1995). For spelling normalization we use a trained model of VARD (Baron and Rayson 2008). As a special feature, we encode with each unit (word token) its average surprisal, i.e. the average amount of information it encodes in number of bits, with words as units and trigram as contexts (Genzel and Charniak 2002).",,The Royal Society Corpus Version 6.0 Open,"Elke Teich, Lehrstuhl Englische Sprach- und Übersetzungswissenschaft, Fakultät P, Fachrichtung Sprachwissenschaft und Sprachtechnologie, Universität des Saarlandes, Campus A2.2, 66123 Saarbrücken, Germany",2020-01-01T00:00:00Z,text/xml,text,xml,"uds, Lehrstuhl Englische Sprach- und Übersetzungswissenschaft, Fakultät P, Fachrichtung Sprachwissenschaft und Sprachtechnologie",1665–1920,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:openrsc-60
,late modern english,"Fischer, Stefan, Jörg Knappen, Katrin Menzel, and Elke Teich. 2020. “The Royal Society Corpus 6.0: Providing 300+ Years of Scientific Writing for Humanistic Study.” In Proceedings of the 12th Language Resources and Evaluation Conference, 794–802. Marseille, France: European Language Resources Association. https://www.aclweb.org/anthology/2020.lrec-1.99/",hdl:21.11119/0000-0004-8E37-F,,,Stefania Degaetano-Ortlieb,written corpus,text,,,,,,,,,,United Kingdom,
,science,"Kermes, Hannah, Stefania Degaetano, Ashraf Khamis, Jörg Knappen, and Elke Teich. 2016. “The Royal Society Corpus: From Uncharted Data to Corpus.” In Proceedings of the LREC 2016. Portoroz, Slovenia. http://www.lrec-conf.org/proceedings/lrec2016/summaries/792.html",,,,Stefan Fischer,diachronic corpus,text,,,,,,,,,,,
,scientific english,"Teich, Elke, Stefania Degaetano-Ortlieb, Stefan Fischer, Hannah Kermes, Ashraf Khamis, and Jörg Knappen, ""The Royal Society Corpus"", hdl:11858/00-246C-0000-0023-8D26-7, 2016",,,,Hannah Kermes,,,,,,,,,,,,,
,language change,"Knappen, Jörg, Fischer, Stefan, Kermes, Hannah, Teich, Elke, and Fankhauser, Peter. 2017. ""The Making of the Royal Society Corpus."" In Proceedings of the NoDaLiDa 2017 Workshop on Processing Historical Language. Göteborg, Sweden. Linköping University Electronic Press. http://www.ep.liu.se/ecp/article.asp?issue=133%26article=003%26volume=",,,,Jörg Knappen,,,,,,,,,,,,,
,,,,,,Katrin Menzel,,,,,,,,,,,,,
2020-10-07T13:30:10Z,corpus linguistics,http://fbc.pionier.net.pl/owoc (Federacja Bibliotek Cyfrowych),clarind-uds:poldilemma,CC BY NC SA,pol,,dataset,dataset,"The PolDiLemma corpus is a diachronic corpus made of political, religious, scientific and historical texts from different authors of the Middle Polish period (16th-18th century). It contains in total ca. 7 million tokens. Characteristic for this period is the slow development of a supra-regional standard language, a process of standardisation on the basis of the variety of the Polish nobility, under the influence of Latin and other foreign languages as well as different social or regional varieties. All texts (free licenses) are gathered from Federacja Bibliotek Cyfrowych (Digital Library Federation). The Middle Polish texts illustrate the history of the language and give the opportunity to explore some first-hand evidence of the development of Polish in its historical context. Studying the history of the language is a way to familiarize oneself with aspects of the history of Poland in general. It also helps to build up valuable methodological knowledge in diachronic linguistics and philology.",Federacja Bibliotek Cyfrowych,"""PolDiLemma"" Middle Polish Diachrone Lemmatised Corpus","Humboldt-Universität zu Berlin, Institut für Slawistik, Prof. Dr. Roland Meyer",2013–2014,application/xml,application,xml,"HU Berlin, Institut für Slawistik, Prof. Dr. Roland Meyer",1600–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma
,historical linguistics,,hdl:11858/00-246C-0000-0023-8C44-B,CC BY NC SA,deu,,,,,,,,,,,,,Poland,
,middle polish period,,,,lat,,,,,,,,,,,,,,
,political texts,,,,ces,,,,,,,,,,,,,,
,religious texts,,,,,,,,,,,,,,,,,,
,historical texts,,,,,,,,,,,,,,,,,,
,scientific texts,,,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/100676,clarind-uds:poldilemma-100676,CC BY NC SA,pol,,starodruk,text,"Kisiel, Adam Franciszek (-1719). [Adr. ded.]","Biblioteka Jagiellońska, BJ St. Dr. 33914","Swiętołdycz, Albo Starozytny Iaśnie Wielmożnego Domu [...] Kisielow Herbowny Kleynot : Namiot Rozbity Na Gorze Witebskiey Od [...] Adama Franciszka Dorohinickiego na Brusilowie Kisiela [...] Przez Pobożną erekcyą y Fundacyą Monastyra dla OO. Bazylianow Unitow, przy Cerkwi Kathedralney Episkopskiey","Żochowski, Cyprian (1635-1693)",1683-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Akademicka,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-100676
,,oai:jbc.bj.uj.edu.pl:publication:107762,hdl:11858/00-246C-0000-0023-8CD0-F,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/105641,clarind-uds:poldilemma-105641,CC BY NC SA,pol,,starodruk,text,"Stadnicki, Adam (ca 1563-1615). Adr. ded.","Biblioteka Jagiellońska, BJ St. Dr. 27071 I","Prawy Szlachcic, w Kazaniu Na Pogrzebie [...] Andrzeia ze Zmigroda Stadnickiego w osobie iego vkazany we Zmigrodzie dnia 23 Września Roku [...] 1614","Radawiecki, Andrzej ( -1634)",1625-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Andrzeja Piotrkowczyka,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-105641
,,oai:jbc.bj.uj.edu.pl:publication:112986,hdl:11858/00-246C-0000-0023-8CD3-9,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/163690,clarind-uds:poldilemma-163690,CC BY NC SA,pol,,starodruk,text,,"Biblioteka Jagiellońska, BJ St. Dr. 50975 I/1",Początki Chemii : Stosownie Do Teraznieyszego Tey Umieiętnosci Stanu Dla Pozytku Uczniow I Słuchaczow Ułozone Y Za Wzor Lekcyi Akademickich Słuzyc Maiące. T. 2 Przez Jędrzeia Sniadeckiego Filozofii i Medycyny Doctora [...],"Śniadecki, Jędrzej (1768-1838)",1800-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Akademicka,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-163690
,,oai:jbc.bj.uj.edu.pl:publication:172070,hdl:11858/00-246C-0000-0023-8CEA-8,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/165062,clarind-uds:poldilemma-165062,CC BY NC SA,pol,,starodruk,text,,"Biblioteka Jagiellońska, BJ St. Dr. Cim. 5123","O Przywileiach Nadanych od Naiaśnieyszych Krolow Polskich, y przednieyszych niektorych dowodach, ktore świętą Unią wielce zalecaią y potwierdzaią","Pociej, Hipacy (1541-1613)",1605-01-01T00:00:00Z,application/xml,application,xml,s.n.,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-165062
,,oai:jbc.bj.uj.edu.pl:publication:173487,hdl:11858/00-246C-0000-0023-8CEB-6,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/165751,clarind-uds:poldilemma-165751,CC BY NC SA,lat,,starodruk,text,,"Biblioteka Jagiellońska, BJ St. Dr. 58242 I",Rzepicha Matka Krolow Zona Piasta Między Narodami Sarmackiemi Słowianskiego Monarchy Tey Częsci Ziemi Ktora się Nazywa Polska. Cz. 1-2.,"Jezierski, Franciszek Salezy (1740-1791)",1790-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Piotra Dufoura,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-165751
,,oai:jbc.bj.uj.edu.pl:publication:174207,hdl:11858/00-246C-0000-0023-8CEC-4,CC BY NC SA,pol,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/165752,clarind-uds:poldilemma-165752,CC BY NC SA,pol,,starodruk,text,http://www.bj.uj.edu.pl/uj/katalog?search=KEYWORD&function=CARDSCR&u1=12&t1=xx001935361 Współopr. z: BJ St. Dr. 390536 I,"Biblioteka Jagiellońska, BJ St. Dr. 11095 I",O Bez-Krolewiach W Polszcze Y O Wybieraniu Krolow począwszy od śmierci Zygmunta Augusta Jagiełły aż do Naszych czasów : Dzieło w teraźnieyszych okolicznościach do wiadomości przydatne,"Jezierski, Franciszek Salezy (1740-1791)",1790-01-01T00:00:00Z,application/xml,application,xml,s.n.,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-165752
,,oai:jbc.bj.uj.edu.pl:publication:174208,hdl:11858/00-246C-0000-0023-8CED-2,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/165853,clarind-uds:poldilemma-165853,CC BY NC SA,pol,,starodruk,text,,"Biblioteka Jagiellońska, BJ St. Dr. 56637 I",Gowórek herbu Rawicz woiewoda sandomierski : Powieść z widoku we śnie,"Jezierski, Franciszek Salezy (1740-1791)",1789-01-01T00:00:00Z,application/xml,application,xml,Michał Gröll,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-165853
,,oai:jbc.bj.uj.edu.pl:publication:174261,hdl:11858/00-246C-0000-0023-8CEE-F,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 16 w.,http://jbc.bj.uj.edu.pl/Content/166119,clarind-uds:poldilemma-166119,CC BY NC SA,pol,"Trzecieski, Andrzej (ca 1525-ca 1584)",starodruk,text,"Spławski, Stanisław (15..?-1569). [Adr. ded.]","Biblioteka Jagiellońska, BJ St. Dr. Cim. Qu 5015","Tytuły Prawa Maydeburskiego, do Porządku y do Artykułów pierwey po Polsku wydanych : W sprawach tego czasu nawięcey kłopotnych s tegoż Prawa Maydebur[skiego] przydane [...]","Groicki, Bartłomiej (ca 1534-1605)",1567-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Łazarzowa,1501–1600,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-166119
,,oai:jbc.bj.uj.edu.pl:publication:174576,hdl:11858/00-246C-0000-0023-8CEF-D,CC BY NC SA,lat,"Rej, Mikołaj (1505-1569)",,,http://www.bj.uj.edu.pl/uj/katalog?search=KEYWORD&function=CARDSCR&u1=12&t1=xx002006352 Współopr. z: BJ St. Dr. Cim. 4437,,,,,,,,,,
2020-10-07T13:30:10Z,,http://rcin.org.pl/Content/16680,clarind-uds:poldilemma-16680,CC BY NC SA,pol,,early printed book (1501-1800),text,p. 520,,"Gratis plebański, gratis wyćwiczony w jezuickich szkołach krakowskich","Szembek, Fryderyk",1627-01-01T00:00:00Z,application/xml,application,xml,[Jan Wolrab],,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-16680
,,oai:rcin.org.pl:publication:34237,hdl:11858/00-246C-0000-0023-8CF0-7,CC BY NC SA,lat,,książka,text,,,,,,,,,,,
,,,,,,,stary druk,text,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/180798,clarind-uds:poldilemma-180798,CC BY NC SA,pol,"Filipowicz, Jan Józef (?-ca 1770). [Il.]",starodruk,text,,"Biblioteka Jagiellońska, BJ St. Dr. 5232 I","Nowe Ateny Albo Akademia Wszelkiey Scyencyi Pełna : Na Rozne Tytuły, iak na Classes Podzielona, Mądrym dla Memoryału, Idiotom dla Nauki, Politykom dla praktyki, Melancholikom dla rozrywki Erigowana : Alias O Bogu [...] O Zwierzu [...] O Językach [...]. T.1","Chmielowski, Benedykt (1700-1763)",1745-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Pawła Józefa Golczewskiego,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-180798
,,oai:jbc.bj.uj.edu.pl:publication:191657,hdl:11858/00-246C-0000-0023-8CF1-5,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/182887,clarind-uds:poldilemma-182887,CC BY NC SA,lat,,starodruk,text,,"Biblioteka Jagiellońska, BJ St. Dr. 2217 I",Skarb W Ziemi Ukryty : Niesmiertelna w Smiertelnym Ciele Dusza Albo Szacunek Duszy Ludzkiey,"Jaśkiewicz, Mikołaj (1717-1779)",1779-01-01T00:00:00Z,application/xml,application,xml,Józef Epifani Minasowicz,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-182887
,,oai:jbc.bj.uj.edu.pl:publication:193789,hdl:11858/00-246C-0000-0023-8CF2-3,CC BY NC SA,,,,,,,,,,,,,Drukarnia Nadworna Jego Królewskiej Mości,,
2020-10-07T13:30:10Z,mowy polskie 18 w.,http://pbc.biaman.pl/Content/184,clarind-uds:poldilemma-184,CC BY NC SA,pol,,starodruk,text,ilość skanów: 238 ; sygn. St-297,,"Mowy seymowe Jaśnie Oświeconego Xiązęcia biskupa warminskiego Andrzeja Chryzostoma , na Załuskach y Błędowie Załuskiego kanclerza wielkiego koronnego przy publicznych Oyczyzny obradach miane.","Załuski, Andrzej Chryzostom (ca 1648 - 1711)",1718-01-01T00:00:00Z,application/pdf,application,pdf,Drukarnia Collegium Kaliskiego,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-184
,,,hdl:11858/00-246C-0000-0023-8CF4-0,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/189302,clarind-uds:poldilemma-189302,CC BY NC SA,pol,,starodruk,text,"Flemming, Jan Jerzy Detlov (1699-1771). Adr. ded.","Biblioteka Jagiellońska, BJ St. Dr. 22678 III","Apellacya Z Korony Polskiey Do W. X. L. Trybunału Gł. Largicyi [...] Jerzego Detlofa [...] Fleminga Szerewskiego [...] Starosty, Generała-Leutenanta Infanteryi, Podskarbiego Wielkiego [...] y Marszałka Trybunału W. X. L. Y Jego Godnych Kollegow [...] PP. Deputatów Zaniesiona. : Na Expens Kanonizacyi B. Jana z Dukli Polaka Zakonu S. O. Franciszka [...] Łaski żebrząca. Kazaniem Koronacyi N. Panny Boleśney Jarosławskiey zaszczycona, mianym przez X. P. Urbanowskiego Ruskiey Prowincyi Bernardyńskiey Kanonizacyi B. Jana z Dukli Prokuratora","Urbanowski, Paulin ( -1770)",1756-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Jezuitów,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-189302
,,oai:jbc.bj.uj.edu.pl:publication:200426,hdl:11858/00-246C-0000-0023-8CF5-E,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 18 w.,http://jbc.bj.uj.edu.pl/Content/189308,clarind-uds:poldilemma-189308,CC BY NC SA,pol,,starodruk,text,"Chrząstowski, Mikołaj Stefan (17..-17..). Adr. ded.","Biblioteka Jagiellońska, BJ St. Dr. 38176 I","Chrystus Boleiący od grzesznikow w Morzu Krwi Jego własney Pogrązony : Na Herbowney Lodźi [...] Mikołaia Stefana z Chrząstowa Chrząstowskiego [...] Opata Koronowskiego Prześwietnego Zakonu Cystercyeńskiego J. K. M. Sekretarza &c. do pożądanego portu Wyniesiony W Postnych X. Romana Wroblewskiego Prowincyi Wielko- Polskiey Obserwanta, Kazaniach [...] Roku [...] 1746","Wróblewski, Roman ( -1769)",1746-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Akademicka,1701–1800,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-189308
,,oai:jbc.bj.uj.edu.pl:publication:200432,hdl:11858/00-246C-0000-0023-8CF6-C,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/214298,clarind-uds:poldilemma-214298,CC BY NC SA,pol,,starodruk,text,"Skarga, Piotr (1536-1612). [Adr. ded.]","Biblioteka Jagiellońska, BJ St. Dr. 1471 I","Torvnskie Nocy Roku Panskiego 1609 X. Stanislawa Grochowskiego, Kustosza Kruszwickiego","Grochowski, Stanisław (1542-1612)",1610-01-01T00:00:00Z,application/xml,application,xml,Bazyli Skalski,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-214298
,,oai:jbc.bj.uj.edu.pl:publication:225778,hdl:11858/00-246C-0000-0023-8CFC-F,CC BY NC SA,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,starodruki 17 w.,http://jbc.bj.uj.edu.pl/Content/216027,clarind-uds:poldilemma-216027,CC BY NC SA,pol,"Brzeziński, Andrzej. Tł.",starodruk,text,"Piaseczyńska, Zofia Barbara (16..-). Adr. ded.","Biblioteka Jagiellońska, BJ St. Dr. 5563 I","Zabawa Duchowna, Na Solenną Oktawę, Niepokalanego Poczęcia [...] Bogarodzice Maryey Panny [...]","Bieżanowski, Stanisław Józef (1628-1693)",1693-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Akademii Krakowskiej,1601–1700,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-216027
,,oai:jbc.bj.uj.edu.pl:publication:227514,hdl:11858/00-246C-0000-0023-8CFE-B,CC BY NC SA,lat,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,pastorals letters and charges - 18th c.,http://rcin.org.pl/Content/22683,clarind-uds:poldilemma-22683,CC BY NC SA,pol,,text,text,Pod tekstem data: Dan w Warszawie dnia 20. miesiąca Sierpnia roku 1775,"IBL PAN, call no. XVIII.2.175","List Pasterski Jasnie Oswieconego [...] Michała Jerzego Ciołka Poniatowskiego Biskupa Płockiego, Xiązęcia Pułtuskiego [...] Do Oboyga Stanu Tak Duchownego, Jako I Swieckiego Diecezyi Swoiey Roku Panskiego 1775. [...] Wydany","Poniatowski, Michał Jerzy (1736-1794)",1775-01-01T00:00:00Z,application/xml,application,xml,Drukarnia Nadworna Jego Królewskiej Mości (Warszawa),,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:poldilemma-22683
,,oai:rcin.org.pl:publication:41549,hdl:11858/00-246C-0000-0023-8CFF-9,CC BY NC SA,lat,,early printed book (1501-1800),text,"94 s., [3] k. ; 4°",http://katalog.pan.pl/webpac-bin/233biblitEN/wgbroker.exe?new+-access+top+search+open+NR+xx002729478,,,,,,,,,
,,,,,,,,,"Estr. XV-XVIII, 25, 8",,,,,,,,,,
,,,,,,,,,Przypisy w jęz. łac.,,,,,,,,,,
