datestamp,identifier,creator,format,format - mediatype,format - subtype,title,rights,date,relation,subject,description,language,type,type - dcmi recommendation,publisher,source,contributor,record id,record - header - setSpec
,,Autorinnen und Autoren des Siglo de Oro,,,,Textos literarios del Siglo de Oro,,,,,"Diese Textsammlung enthält literarische Werke unterschiedlicher Gattungen und Autoren in spanischer Originalsprache aus dem Zeitraum des 16. bis 17. Jahrhunderts. Die Sammlung wurde anlässlich zweier stilometrischer Studien zur Autorschaft des ""Quijote apocrífo"" erstellt: ""Avellaneda y los problemas de la identificación del autor. Propuestas para una investigación con nuevas herramientas digitales"" (https://nbn-resolving.org/urn:nbn:de:bvb:384-opus4-37049) und ""Die Digitalisierung des goldenen Zeitalters – Editionsproblematik und stilometrische Autorschaftsattribution am Beispiel des Quijote"" (doi:10.17175/2018_004). Die insgesamt 96 Texte sind gemeinfrei zugänglich und wurden aus unterschiedlichen digitalen Bibliotheken gesammelt. Zum großen Teil stammen die Texte von Biblioteca Virtual Miguel Cervantes oder Wikisource. Zur Sammlung wird eine Metadatentabelle mit bibliographischen Angaben und Informationen zu den Gattungen veröffentlicht. Die Texte liegen im Reintextformat (UTF-8 codiert) vor und wurden nur minimal bereinigt. Es befinden sich z.T. noch Paratexte (Vorwort, Widmung, etc.) in den einzelnen Textdateien. Die Benennung der Dateien entspricht leider keinem einheitlichen Prinzip, weil sie für unterschiedliche digitale Untersuchungen verwendet wurden.",,,,,,,,
,,,,,,Rojas_TC-1499-Celestina.txt,,,,,,,,,,,,,
2022-04-10T10:56:21Z,doi:10.20375/0000-000E-C304-1,JSSAL,text/vnd.dariah.dhrep.collection+turtle,text,turtle,"Buğday, M. & Sari, H. (2022.pdf",the Authors,2022-04-10T10:56:21Z,,,"This study aimed to evaluate the effect of teacher training program developed on dysgraphia concerning teachers' knowledge proficiency. The study was organized according to the mixed method. There is no significant difference between the pre-test knowledge competencies of the experimental group teachers and the control group participants, where the training program developed for teachers working with dysgraphia students was applied. There is a significant difference in favor of the experimental group between the post-test knowledge competencies of the participants in the experimental group and the control group, where the training program developed for teachers working with dysgraphia students was applied. There is a significant difference in favor of the experimental group between the retention test scores of the experimental group participants and the control group participants, where the training program developed for teachers working with dysgraphia students was applied. It has been observed that teachers make statements consistent with the literature to a large extent, both when identifying the students with dysgraphia in their classrooms and when explaining the developmental characteristics of students with dysgraphia.",,,,,,,hdl:21.11113/0000-000E-C304-1,hdl:21.11113/0000-000E-C304-1
,hdl:21.11113/0000-000E-C304-1,,,,,,,,,,,,,,,,,,
2022-03-31T06:09:48Z,doi:10.20375/0000-000E-BCB9-E,Benedict Pietsch,application/pdf,application,pdf,Verbot als Gebot? Zur geplanten Streichung des „Werbeverbots“ für den Abbruch der Schwangerschaft (§ 219a StGB) aus verfassungsrechtlicher Perspektive,KriPoZ,2022-03-31T06:09:48Z,hdl:21.11113/0000-000E-BCB8-F,,,,,,Kriminalpolitische Zeitschrift,"KriPoZ 2022, 74 ff.",,hdl:21.11113/0000-000E-BCB9-E,hdl:21.11113/0000-000E-BCB9-E
,hdl:21.11113/0000-000E-BCB9-E,,,,,,,,,,,,,,,,,,
2022-09-01T12:02:54Z,doi:10.20375/0000-000F-7399-3,JSSAL,text/vnd.dariah.dhrep.collection+turtle,text,turtle,Nidup et al. 2022.pdf,the Authors,2022-09-01T12:02:54Z,,,"This study evaluates the prevalence and severity of perceived stress amongst 638 students ranging from grade nine to twelve in Phuntshothang School under Punakha district, Bhutan. The quantitative method was used with the perceived stress scale (PSS) as a research tool to understand the level of stress in students. A questionnaire with a 5-Point Likert scale was instituted to understand the symptoms of stress and the factors causing stress. The Cronbach’s alpha was calculated to be 0.90 and 0.83 for symptoms and factors, respectively, which were greater than 0.7 and in conformity with the reliability test. Findings showed low to severe levels of stress amongst students, with minimum students experiencing low and severe stress, and a majority of them experiencing moderate stress. Symptoms like fatigue, difficulty falling asleep, boredom, depression, diarrhea, cramps, gastritis, constipation, restlessness, and itching were experienced less frequently, while the majority of the students experienced headache, tense muscles, sore neck and back, anxiety, worries, phobias, irritability, anger and eating disorder more frequently. Among the five factors, physical factors, family factors, academic factors, relationship factors, and social factors, the study found social factors to be the greatest cause of stress, followed by academic factors. Family factors and relationship factors contributed least to stress after physical factors. The Significant gender difference was observed, with more male students suffering from stress than female students. The school management, counselors, and teachers are recommended to organize stress management programs and design recreational activities to engage students and keep them stress-free.",,,,,,,hdl:21.11113/0000-000F-7399-3,hdl:21.11113/0000-000F-7399-3
,hdl:21.11113/0000-000F-7399-3,,,,,,,,,,,,,,,,,,
2022-08-22T07:09:21Z,doi:10.20375/0000-000F-7382-C,"Ilko Kucheriv Democratic Initiatives Foundation (DIF), Kyiv, Kyiv International Institute of Sociology (KIIS)",text/plain,text,plain,Documentation-Data-Collection-ENG.pdf,ODC BY,2022-08-22T07:09:21Z,hdl:21.11113/0000-000F-7381-D,,,,,,,,,hdl:21.11113/0000-000F-7382-C,hdl:21.11113/0000-000F-7382-C
,hdl:21.11113/0000-000F-7382-C,,,,,,,,,,,,,,,,,,
2022-08-31T13:52:56Z,doi:10.20375/0000-000F-7389-5,Jan Waligórski,application/pdf,application,pdf,Koncepcja teleafordancji – o sposobie istnienia afordancji (i nie tylko) w środowisku wirtualnym 3D.pdf,CC BY NC,2022-08-31T13:52:56Z,hdl:21.11113/0000-000F-7387-7,,,,,,,,,hdl:21.11113/0000-000F-7389-5,hdl:21.11113/0000-000F-7389-5
,hdl:21.11113/0000-000F-7389-5,,,,,,,,,,,,,,,,,,
2022-08-16T13:59:41Z,doi:10.20375/0000-000F-5EC5-A,"Ilko Kucheriv Democratic Initiatives Foundation, Razumkov Centre",text/plain,text,plain,DIF_healthcare_2021-05.xlsx,ODC BY,2022-08-16T13:59:41Z,hdl:21.11113/0000-000F-5EBF-2,,,,,,,,,hdl:21.11113/0000-000F-5EC5-A,hdl:21.11113/0000-000F-5EC5-A
,hdl:21.11113/0000-000F-5EC5-A,,,,,,,,,,,,,,,,,,
2022-08-16T13:59:43Z,doi:10.20375/0000-000F-5EC6-9,"Ilko Kucheriv Democratic Initiatives Foundation, Razumkov Centre",text/plain,text,plain,Documentation-data-collection.pdf,ODC BY,2022-08-16T13:59:43Z,hdl:21.11113/0000-000F-5EBF-2,,,,,,,,,hdl:21.11113/0000-000F-5EC6-9,hdl:21.11113/0000-000F-5EC6-9
,hdl:21.11113/0000-000F-5EC6-9,,,,,,,,,,,,,,,,,,
2022-09-09T12:58:03Z,doi:10.20375/0000-000F-73C9-D,Levada Center,text/plain,text,plain,original-data.xlsx,ODC BY,2022-09-09T12:58:03Z,hdl:21.11113/0000-000F-73C6-0,,,,,,,,,hdl:21.11113/0000-000F-73C9-D,hdl:21.11113/0000-000F-73C9-D
,hdl:21.11113/0000-000F-73C9-D,,,,,,,,,,,,,,,,,,
2022-08-31T13:53:00Z,doi:10.20375/0000-000F-7393-9,Danuta Nikitenko,application/pdf,application,pdf,"Z dziejów polskiej edukacji, cz. 5.pdf",CC BY NC,2022-08-31T13:53:00Z,hdl:21.11113/0000-000F-7387-7,,,,,,,,,hdl:21.11113/0000-000F-7393-9,hdl:21.11113/0000-000F-7393-9
,hdl:21.11113/0000-000F-7393-9,,,,,,,,,,,,,,,,,,
2022-08-22T07:09:28Z,doi:10.20375/0000-000F-7385-9,"Ilko Kucheriv Democratic Initiatives Foundation (DIF), Kyiv, Kyiv International Institute of Sociology (KIIS)",text/plain,text,plain,maidan2013.xlsx,ODC BY,2022-08-22T07:09:28Z,hdl:21.11113/0000-000F-7381-D,,,,,,,,,hdl:21.11113/0000-000F-7385-9,hdl:21.11113/0000-000F-7385-9
,hdl:21.11113/0000-000F-7385-9,,,,,,,,,,,,,,,,,,
2022-09-05T17:07:07Z,doi:10.20375/0000-000F-73B1-7,Levada Center,text/plain,text,plain,original-data.xlsx,ODC BY,2022-09-05T17:07:07Z,hdl:21.11113/0000-000F-73AE-C,,,,,,,,,hdl:21.11113/0000-000F-73B1-7,hdl:21.11113/0000-000F-73B1-7
,hdl:21.11113/0000-000F-73B1-7,,,,,,,,,,,,,,,,,,
2022-12-07T20:23:50Z,doi:10.20375/0000-000F-79E6-6,Authors will only be identified upon the publication of the article linked to this database (respecting the blind peer-review process),application/pdf,application,pdf,"List of selected articles on the Commonwealth of Independent States published in the Russian language in the period of 2000-February 2022, identified on www.elibrary.ru as of 18 February 2022",Open Access,2022-12-07T20:23:50Z,hdl:21.11113/0000-000F-79E5-7,,"The list of articles provided in this data has been identified on www.elibrary.ru as of 18 February 2022. The search was conducted with two keywords in Russian – “Содружество Независимых Государств” (Commonwealth of Independent States) and its abbreviation “СНГ” (CIS) in the title of publications. The search covered only journal articles in political science as classified by the database and published in the period of 2000 to February 2022. The following filters were applied for the search of each keyword: • Types of publication: research articles and dissertations • Area (“Тематика”): Politics, Political Sciences (“Политика. Политические науки”), 11.00.00 • Time period: 2000-2022 • Language parameters: search based on morphology (“искать с учетом морфологии”) • The results of both searches, after being added to a collection, had to be once again filtered to the area of Politics, Political Sciences (“Политика. Политические науки”), 11.00.00. The data collection has been carried out in the second week of February 2022. In total, the searches delivered 424 results, out of which only 319 provided a link to a file. Yet, after data cleaning (excluding six wrong or incomplete files, six duplications, six in non-Russian, plus 26 explicitly irrelevant), 275 pieces of work were left for analysis. No clear pattern (in terms of timeframe, journal, topic, or author) in the unavailable or publicly inaccessible results was identified. In this regard, no potential bias is expected to have influenced the selection of articles. Finally, the collected pieces of works for thematic analysis were ordered by the date of publication in descending order and numbered from 1 to 275. All of the pieces of work included in the analysis could be freely accessed at www.elibrary.ru by 27 February 2022.",,,,,,,hdl:21.11113/0000-000F-79E6-6,hdl:21.11113/0000-000F-79E6-6
,hdl:21.11113/0000-000F-79E6-6,,,,,,,,,,,,,,,,,,
2022-12-07T20:23:49Z,doi:10.20375/0000-000F-79E5-7,Authors will only be identified upon the publication of the article linked to this database (respecting the blind peer-review process),text/vnd.dariah.dhrep.collection+turtle,text,turtle,"List of selected articles on the Commonwealth of Independent States published in the Russian language in the period of 2000-February 2022, identified on www.elibrary.ru as of 18 February 2022",Open Access,2022-12-07T20:23:49Z,,,"The list of articles provided in this data has been identified on www.elibrary.ru as of 18 February 2022. The search was conducted with two keywords in Russian – “Содружество Независимых Государств” (Commonwealth of Independent States) and its abbreviation “СНГ” (CIS) in the title of publications. The search covered only journal articles in political science as classified by the database and published in the period of 2000 to February 2022. The following filters were applied for the search of each keyword: • Types of publication: research articles and dissertations • Area (“Тематика”): Politics, Political Sciences (“Политика. Политические науки”), 11.00.00 • Time period: 2000-2022 • Language parameters: search based on morphology (“искать с учетом морфологии”) • The results of both searches, after being added to a collection, had to be once again filtered to the area of Politics, Political Sciences (“Политика. Политические науки”), 11.00.00. The data collection has been carried out in the second week of February 2022. In total, the searches delivered 424 results, out of which only 319 provided a link to a file. Yet, after data cleaning (excluding six wrong or incomplete files, six duplications, six in non-Russian, plus 26 explicitly irrelevant), 275 pieces of work were left for analysis. No clear pattern (in terms of timeframe, journal, topic, or author) in the unavailable or publicly inaccessible results was identified. In this regard, no potential bias is expected to have influenced the selection of articles. Finally, the collected pieces of works for thematic analysis were ordered by the date of publication in descending order and numbered from 1 to 275. All of the pieces of work included in the analysis could be freely accessed at www.elibrary.ru by 27 February 2022.",,,,,,,hdl:21.11113/0000-000F-79E5-7,hdl:21.11113/0000-000F-79E5-7
,hdl:21.11113/0000-000F-79E5-7,,,,,,,,,,,,,,,,,,
2022-11-29T13:23:23Z,doi:10.20375/0000-000F-770B-0,JSSAL,application/pdf,application,pdf,Özcan 2022.pdf,the Authors,2022-11-29T13:23:23Z,hdl:21.11113/0000-000F-770A-1,,"The aim of this study is to find out the perceptions of secondary students about learning the English language through metaphor analysis. The research was carried out with 432 students studying in the 6th, 7th and 8th grades of 6 primary schools in Yozgat city centre. Qualitative method and survey model were used in the study; typical case sampling was used to form the study group. The data of the study were obtained with the data collection tool prepared by the researcher and finalized after expert opinion. In the data collection tool, students were asked to answer a semi-structured question reflecting their thoughts about learning English. The data obtained from the research were analyzed by content analysis method and descriptive analysis techniques were used to analyze the data. As a result of data analysis, metaphors were examined under five themes: challenging, progressive, beneficial, enjoyable, and intangible. The metaphors show that students generally have positive perceptions about learning English. These metaphors are substantial as they provide an in-depth understanding of students’ perceptions and shed light on teachers and curriculum designers",,,,,,,hdl:21.11113/0000-000F-770B-0,hdl:21.11113/0000-000F-770B-0
,hdl:21.11113/0000-000F-770B-0,,,,,,,,,,,,,,,,,,
2022-12-06T10:41:31Z,hdl:21.11113/0000-000F-79A2-2,"Ilko Kucheriv Democratic Initiatives Foundation (DIF), Kyiv, Kyiv International Institute of Sociology (KIIS)",text/vnd.dariah.dhrep.collection+turtle,text,turtle,Maidan-2013: who participated - why and for what? (Ilko Kucheriv Democratic Initiatives Foundation + Kyiv International Institute of Sociology),ODC BY,2022-12-06T10:41:31Z,,,"This survey covers participants of the early phase of the protests on Kyiv’s central Independence Square (Maidan Nezalezhnosti) which became known as Euromaidan or Revolution of Dignity. It was conducted on 7 + 8 December 2013 by the Ilko Kucheriv Democratic Initiatives Foundation (DIF) and the Kyiv International Institute of Sociology (KIIS). A total of 1,037 respondents were interviewed. &lt;br&gt;This data collection contains the original raw data as SPSS file (description of variables in Ukrainian) and a converted version of the datasheet as Excel file. The Ukrainian version of the Documentation of Data Collection contains a description of the methodolgy and a list of all questions + answer options from the original questionnaire. The English version of the Documentation of Data Collection contains some additional background information and a list of all questions and answer options in the Ukrainian original and an English translation with variable numbers added. This list is necessary for use of the Excel file and also if an analysis is to be conducted without knowledge of Ukrainan.",,,,,,,hdl:21.11113/0000-000F-79A2-2,hdl:21.11113/0000-000F-79A2-2
,doi:10.20375/0000-000F-79A2-2,,,,,,,,,,,,,,,,,,
2022-11-16T08:52:13Z,hdl:21.11113/0000-000F-7497-4,Levada Center,text/vnd.dariah.dhrep.collection+turtle,text,turtle,Russian population: Desired political and economic system (Levada Center),ODC BY,2022-11-16T08:52:13Z,,,"The Levada Center has been conducting omnibus surveys of the Russian population on a regular basis. This data collection includes three questions about the desired political and economic system and the preference concerning great power status or wealth for Russia (plus standard socio-demographic data). In total this collection includes the respective data from 51 separate surveys conducted from 1996 to 2021.&lt;br&gt;&lt;br&gt;The file &quot;DocuDataColletion&quot; documents the questions included in the dataset and provides information about the random-sample questionnaire-based nationally representative polls conducted as omnibus surveys. The original data file is in Russian, but this file includes translations into English of all questions and answer options.&lt;br&gt;&lt;br&gt;Included in this data collection are the relevant questions from the Levada omnibus surveys copied into one file. The SPSS file (.sav) is the original file provided by the Levada Center. It has been exported into an Excel file. The content of the respective xlsx-file should be identical with the original sav-file. In addition, the data collection contains the file “main results” which for each of the three questions presents the simple distribution of answer options over time (i.e. for each survey) in a graph.",,,,,,,hdl:21.11113/0000-000F-7497-4,hdl:21.11113/0000-000F-7497-4
,doi:10.20375/0000-000F-7497-4,,,,,,,,,,,,,,,,,,
2022-10-24T11:17:46Z,doi:10.20375/0000-000F-7488-5,Levada Center,text/vnd.dariah.dhrep.collection+turtle,text,turtle,Rights and freedoms in the perception of the Russian population (Levada Center),ODC BY,2022-10-24T11:17:46Z,,,"The Levada Center has been conducting omnibus surveys of the Russian population on a regular basis. This data collection includes questions about perceptions of a large number of human and civic rights - together with standard social-demographic and political data about all respondents, from a total of 17 opinion polls conducted in 2000, 2005-07, 2011, 2013-15, 2017-22.&lt;br&gt;&lt;br&gt;Included in this data collection are the relevant questions from the Levada omnibus surveys. The SPSS file (.sav) is the original file provided by the Levada Center. It has been exported into an Excel file. The content of the respective xlsx-file should be identical with the original sav-file. &lt;br&gt;&lt;br&gt;The file &quot;DocuDataCollection&quot; documents the questions included in the dataset and provides information about the random-sample questionnaire-based nationally representative polls conducted as omnibus surveys. The original data files are in Russian, but the documentation lists all questions and answer options with an English translation.&lt;br&gt;&lt;br&gt;An overview of some selected results is included in the data collection as a separate file.",,,,,,,hdl:21.11113/0000-000F-7488-5,hdl:21.11113/0000-000F-7488-5
,hdl:21.11113/0000-000F-7488-5,,,,,,,,,,,,,,,,,,
2022-10-24T11:15:03Z,hdl:21.11113/0000-000F-7486-7,Levada Center,text/plain,text,plain,DocuDataCollection.pdf,ODC BY,2022-10-24T11:15:03Z,hdl:21.11113/0000-000F-7483-A,,,,,,,,,hdl:21.11113/0000-000F-7486-7,hdl:21.11113/0000-000F-7486-7
,doi:10.20375/0000-000F-7486-7,,,,,,,,,,,,,,,,,,
2022-10-24T11:17:52Z,doi:10.20375/0000-000F-748C-1,Levada Center,text/plain,text,plain,selected-results.pdf,ODC BY,2022-10-24T11:17:52Z,hdl:21.11113/0000-000F-7488-5,,,,,,,,,hdl:21.11113/0000-000F-748C-1,hdl:21.11113/0000-000F-748C-1
,hdl:21.11113/0000-000F-748C-1,,,,,,,,,,,,,,,,,,
2022-10-24T11:17:48Z,hdl:21.11113/0000-000F-748A-3,Levada Center,text/plain,text,plain,liberties.sav,ODC BY,2022-10-24T11:17:48Z,hdl:21.11113/0000-000F-7488-5,,,,,,,,,hdl:21.11113/0000-000F-748A-3,hdl:21.11113/0000-000F-748A-3
,doi:10.20375/0000-000F-748A-3,,,,,,,,,,,,,,,,,,
2023-01-25T18:10:17Z,hdl:21.11113/0000-000F-7DBF-F,Levada Center,text/vnd.dariah.dhrep.collection+turtle,text,turtle,The War in Ukraine in the Perception of the Russian Population (Public Opinion Polls by the Levada Center),ODC BY,2023-01-25T18:10:17Z,,,"The Levada Center has been conducting omnibus surveys of the Russian population on a regular basis. This data collection includes questions about the full-scale Russian military aggression against Ukraine which started on 24 February 2022 together with standard socio-demographic and political data about all respondents. It contains the raw data from 10 opinion polls conducted from March to December 2022. &lt;br&gt;&lt;br&gt;Included in this data collection are the relevant questions from the Levada omnibus surveys copied into one file. The SPSS file (.sav) is the original file provided by the Levada Center. It has been exported into an Excel file. The content of the respective xlsx-file should be identical with the original sav-file. &lt;br&gt;&lt;br&gt;The documentation of data collection lists the questions included in the dataset and provides information about the random-sample questionnaire-based nationally representative polls conducted as omnibus surveys. The original data file is in Russian, but the documentation lists all questions and answer options with an English translation. &lt;br&gt;&lt;br&gt;Additionally, the data collection contains (1) an excerpt from a working paper published by Denis Volkov, the director of the Levada Center, and Andrei Kolesnikov, a senior fellow at the Carnegie Endowment for International Peace, which outlines their arguments against a reduced validity of Levada surveys. (2) a file detailing the response and rejections rates of the Levada omnibus surveys conducted in the first quarter of 2022 with a discussion by the Levada team and (3) a description of an experiment conducted by the Leveda Center to analyse the readiness of the Russian population to participate in surveys (available only in Russian language).&lt;br&gt;&lt;br&gt;Compared to the previous version the results for July to December have been added, this includes 2 additional questions not asked in the earlier polls.&lt;br&gt;&lt;br&gt;The data presented in this dataset have been compiled by the Levada Center. The dataset has been provided to the Research Centre for East European Studies at the University of Bremen for open access publication (non-commercial use) on the DiscussData-platform. The documentation of data collection has been compiled by Heiko Pleines (Research Centre for East European Studies at the University of Bremen), who is also responsible for the upload of this data collection to the DiscussData-platform.",,,,,,,hdl:21.11113/0000-000F-7DBF-F,hdl:21.11113/0000-000F-7DBF-F
,doi:10.20375/0000-000F-7DBF-F,,,,,,,,,,,,,,,,,,
2023-02-20T20:03:44Z,hdl:21.11113/0000-000F-819B-0,Daniel Biro,text/vnd.dariah.dhrep.collection+turtle,text,turtle,02_PoS,CC 0,2023-02-20T20:03:44Z,hdl:21.11113/0000-000F-8167-B,,"Dieser Ordner enthält die lemmatisierten Texte mit Part-of-Speech-Annotationen. Für die Annotation wurde die Open-Source-Software TreeTagger genutzt, die von Helmut Schmid im TC-Projekt des Instituts für Computerlinguistik der Universität Stuttgart entwickelt wurde. Das Tool sowie Parameter für zahlreiche Sprachen stehen u. a. auf der Webseite des Centrums für Informations- und Sprachverarbeitung der LMU München zur Verfügung: https:// www.cis.uni-muenchen.de/~schmid/tools/TreeTagger/ [Letzter Zugriff am 16.01.2023]. Die Dateien wurden auf zehn Subkorpora aufgeteilt, die sich jeweils einem Sprecher und einem historischen Abschnitt zuordnen lassen (Aufteilung am Ende der README-Datei).",,,,,,,hdl:21.11113/0000-000F-819B-0,hdl:21.11113/0000-000F-819B-0
,doi:10.20375/0000-000F-819B-0,,,,,,,,,,,,,,,,,,
2023-02-20T20:03:33Z,hdl:21.11113/0000-000F-8169-9,Daniel Biro,text/vnd.dariah.dhrep.collection+turtle,text,turtle,00_Quellen,CC BY NC ND,2023-02-20T20:03:33Z,hdl:21.11113/0000-000F-8167-B,,"Dieser Ordner beinhaltet optisch bearbeitete Digitalisate von 35 Buchbänden und aus dem Internet heruntergeladene Dateien, die als Quelle für die Analyse dienen. Alle Dateien liegen im PDF-Format vor.",,,,,,,hdl:21.11113/0000-000F-8169-9,hdl:21.11113/0000-000F-8169-9
,doi:10.20375/0000-000F-8169-9,,,,,,,,,,,,,,,,,,
2023-02-20T20:05:34Z,doi:10.20375/0000-000F-816C-6,Gheorghe Gheorghiu-Dej,application/zip,application,zip,00_GG_02.zip,"Editura politică, Bukarest, Rumänien",2023-02-20T20:05:34Z,hdl:21.11113/0000-000F-8167-B,,"Gheorghiu-Dej, Gheorghe (1960): Articole și cuvîntări [Artikel und Reden]. Vol. 2, Bukarest: Editura (de stat pentru literatură) politică.",,,,,,,hdl:21.11113/0000-000F-816C-6,hdl:21.11113/0000-000F-816C-6
,hdl:21.11113/0000-000F-816C-6,,,,,,,,,,,,,,,,,,
2023-02-20T20:06:50Z,doi:10.20375/0000-000F-816E-4,Gheorghe Gheorghiu-Dej,application/zip,application,zip,00_GG_04.zip,"Editura politică, Bukarest, Rumänien",2023-02-20T20:06:50Z,hdl:21.11113/0000-000F-8167-B,,"Gheorghiu-Dej, Gheorghe (1962): Articole și cuvîntări [Artikel und Reden]. Vol. 4, Bukarest: Editura (de stat pentru literatură) politică.",,,,,,,hdl:21.11113/0000-000F-816E-4,hdl:21.11113/0000-000F-816E-4
,hdl:21.11113/0000-000F-816E-4,,,,,,,,,,,,,,,,,,
2023-02-20T20:04:23Z,hdl:21.11113/0000-000F-816B-7,Gheorghe Gheorghiu-Dej,application/zip,application,zip,00_GG_01.zip,"Editura politică, Bukarest, Rumänien",2023-02-20T20:04:23Z,hdl:21.11113/0000-000F-8167-B,,"Gheorghiu-Dej, Gheorghe (1956): Articole și cuvîntări [Artikel und Reden]. Vol. 1, Bukarest: Editura (de stat pentru literatură) politică.",,,,,,,hdl:21.11113/0000-000F-816B-7,hdl:21.11113/0000-000F-816B-7
,doi:10.20375/0000-000F-816B-7,,,,,,,,,,,,,,,,,,
2023-01-25T18:10:22Z,hdl:21.11113/0000-000F-7DC3-9,Levada Center,text/plain,text,plain,participation-rates.pdf,ODC BY,2023-01-25T18:10:22Z,hdl:21.11113/0000-000F-7DBF-F,,,,,,,,,hdl:21.11113/0000-000F-7DC3-9,hdl:21.11113/0000-000F-7DC3-9
,doi:10.20375/0000-000F-7DC3-9,,,,,,,,,,,,,,,,,,
2023-02-20T20:04:12Z,hdl:21.11113/0000-000F-81A7-2,Daniel Biro,text/vnd.dariah.dhrep.collection+turtle,text,turtle,Statistiken,CC 0,2023-02-20T20:04:12Z,hdl:21.11113/0000-000F-8167-B,,Statistiken zur Analyse auf Makro- und Mikroebene (siehe README.txt),,,,,,,hdl:21.11113/0000-000F-81A7-2,hdl:21.11113/0000-000F-81A7-2
,doi:10.20375/0000-000F-81A7-2,,,,,,,,,,,,,,,,,,
2023-01-25T18:10:18Z,doi:10.20375/0000-000F-7DC0-C,Levada Center,text/plain,text,plain,converted-data.xlsx,ODC BY,2023-01-25T18:10:18Z,hdl:21.11113/0000-000F-7DBF-F,,,,,,,,,hdl:21.11113/0000-000F-7DC0-C,hdl:21.11113/0000-000F-7DC0-C
,hdl:21.11113/0000-000F-7DC0-C,,,,,,,,,,,,,,,,,,
2023-02-23T14:32:14Z,hdl:21.11113/0000-000F-81C3-2,"Marina Khmelnitskaya, Ulla Pape, Ann-Mari Sätre",text/plain,text,plain,Data set description_Flexible authoritarian governance in Russia.pdf,ODC BY,2023-02-23T14:32:14Z,hdl:21.11113/0000-000F-81C1-4,,,,,,,,,hdl:21.11113/0000-000F-81C3-2,hdl:21.11113/0000-000F-81C3-2
,doi:10.20375/0000-000F-81C3-2,,,,,,,,,,,,,,,,,,
2023-02-20T20:40:17Z,doi:10.20375/0000-000F-81B5-2,Daniel Biro,text/csv,text,csv,mikro_06_II_Abneigung.csv,CC 0,2023-02-20T20:40:17Z,hdl:21.11113/0000-000F-8167-B,,Auflistung der anhand der Basistexte verifizierten Okkurrenzen der frequentesten Concgrams (frequente Wortkombinationen innerhalb einer bestimmten Wortspanne) aus 05_Sentimentanalyse_mikro in Subkorpus 06_II bezüglich der Emotion Abneigung. Alle verifizierten Okkurrenzen sind in 06_Okkurrenzen zu finden.,,,,,,,hdl:21.11113/0000-000F-81B5-2,hdl:21.11113/0000-000F-81B5-2
,hdl:21.11113/0000-000F-81B5-2,,,,,,,,,,,,,,,,,,
2023-02-20T20:40:45Z,hdl:21.11113/0000-000F-81BA-D,Daniel Biro,text/csv,text,csv,mikro_09_TB_Vertrauen.csv,CC 0,2023-02-20T20:40:45Z,hdl:21.11113/0000-000F-8167-B,,Auflistung der anhand der Basistexte verifizierten Okkurrenzen der frequentesten Concgrams (frequente Wortkombinationen innerhalb einer bestimmten Wortspanne) aus 05_Sentimentanalyse_mikro in Subkorpus 09_TB bezüglich der Emotion Vertrauen. Alle verifizierten Okkurrenzen sind in 06_Okkurrenzen zu finden.,,,,,,,hdl:21.11113/0000-000F-81BA-D,hdl:21.11113/0000-000F-81BA-D
,doi:10.20375/0000-000F-81BA-D,,,,,,,,,,,,,,,,,,
2023-02-20T20:38:58Z,doi:10.20375/0000-000F-81A6-3,Daniel Biro,application/zip,application,zip,06_Okkurrenzen_Abneigung.zip,CC 0,2023-02-20T20:38:58Z,hdl:21.11113/0000-000F-8167-B,,Die Dateien in diesem Ordner beinhalten die anhand der Basistexte verifizierten Okkurrenzen der frequentesten Concgrams aus 05_Sentimentanalyse_mikro. Die Ordner teilen die Dateien erneut in die zehn Subkorpora und anschließend in Concgrams in Assoziation mit Vertrauen bzw. Abneigung auf.,,,,,,,hdl:21.11113/0000-000F-81A6-3,hdl:21.11113/0000-000F-81A6-3
,hdl:21.11113/0000-000F-81A6-3,,,,,,,,,,,,,,,,,,
2023-02-20T20:39:32Z,hdl:21.11113/0000-000F-81AD-C,Daniel Biro,text/csv,text,csv,mikro_01_GG_Abneigung.csv,CC 0,2023-02-20T20:39:32Z,hdl:21.11113/0000-000F-8167-B,,Auflistung der anhand der Basistexte verifizierten Okkurrenzen der frequentesten Concgrams (frequente Wortkombinationen innerhalb einer bestimmten Wortspanne) aus 05_Sentimentanalyse_mikro in Subkorpus 01_GG bezüglich der Emotion Abneigung. Alle verifizierten Okkurrenzen sind in 06_Okkurrenzen zu finden.,,,,,,,hdl:21.11113/0000-000F-81AD-C,hdl:21.11113/0000-000F-81AD-C
,doi:10.20375/0000-000F-81AD-C,,,,,,,,,,,,,,,,,,
2023-02-23T14:32:08Z,doi:10.20375/0000-000F-81C2-3,"Marina Khmelnitskaya, Ulla Pape, Ann-Mari Sätre",text/plain,text,plain,Agency of Social Information_Round table on Family Policy_2021.pdf,ODC BY,2023-02-23T14:32:08Z,hdl:21.11113/0000-000F-81C1-4,,,,,,,,,hdl:21.11113/0000-000F-81C2-3,hdl:21.11113/0000-000F-81C2-3
,hdl:21.11113/0000-000F-81C2-3,,,,,,,,,,,,,,,,,,
